# Default oval track for Vehicle Game
# Format: x, y (normalized coordinates, 0.0-1.0)
# Generated by Map Generator Module
0.500000,0.200000
0.539793,0.201234
0.578590,0.204927
0.616408,0.211036
0.653266,0.219508
0.689185,0.230280
0.724187,0.243280
0.758296,0.258428
0.791537,0.275637
0.823937,0.294815
0.855525,0.315863
0.886333,0.338678
0.916394,0.363152
0.945742,0.389170
0.974414,0.416615
1.002447,0.445365
1.029880,0.475295
1.056753,0.506276
1.083108,0.538175
1.108988,0.570856
1.134436,0.604180
1.159497,0.638005
1.184215,0.672186
1.208635,0.706575
1.232802,0.741022
1.256762,0.775375
1.280560,0.809480
1.304243,0.843182
1.327857,0.876325
1.351449,0.908750
1.375066,0.940300
1.398755,0.970815
1.422563,0.999135
1.446537,1.025100
1.470725,1.048550
1.495173,1.069325
1.519928,1.087265
1.545037,1.102210
1.570547,1.114000
1.596504,1.122475
1.622955,1.127475
1.649945,1.128840
1.677520,1.126410
1.705725,1.120025
1.734605,1.109525
1.764205,1.094750
1.794570,1.075540
1.825745,1.051735
1.857775,1.023175
1.890705,0.989700
